geneLabel,conditions
PDE8B,liver disease
PDGFB,liver disease
PDGFRA,liver disease
PDGFRB,liver disease
PDGFRL,liver disease; liver cancer
PDLIM2,Parkinson's disease
PDPN,liver disease
PDX1,liver disease; liver cancer
PEPD,liver disease
PERCC1,liver disease
PEX1,liver disease
PEX10,liver disease
PEX11B,liver disease
PEX12,liver disease
PEX13,liver disease
PEX14,liver disease
PEX16,liver disease
PEX19,liver disease
PEX2,liver disease
PEX26,liver disease
PEX3,liver disease
PEX5,liver disease
PEX6,liver disease
PFKM,liver disease
PGM1,liver disease
PHEX,liver disease
PHKA2,liver disease; liver cancer
PHKB,liver disease; liver cancer
PHKG2,liver disease; liver cancer
PI4KA,liver disease
PIEZO1,liver disease
PIGA,liver disease
PIGG,liver disease
PIGL,liver disease
PIGM,liver disease
PIGS,liver disease
PIK3C2A,liver disease
PIK3C3,liver disease
PIK3CA,cerebrovascular disease; Parkinson's disease; liver disease; liver cancer
PIK3CB,cerebrovascular disease; liver disease; liver cancer
PIK3CD,liver cancer; liver disease; cerebrovascular disease
PIK3CG,liver cancer; liver disease; cerebrovascular disease
PIK3R1,liver disease
PINK1,Parkinson's disease
PITPNM2,Parkinson's disease
PKD1,liver disease
PKD2,liver disease
PKHD1,liver cancer; liver disease
PKLR,liver disease
PKP2,Parkinson's disease
PLA2G6,Parkinson's disease
PLAGL1,liver disease
PLAT,cerebrovascular disease
PLEKHM1,liver disease
PLG,cerebrovascular disease
PLIN1,liver disease
PLPP4,Parkinson's disease
PMF1-BGLAP,Parkinson's disease
PMM2,liver disease
PMS1,liver disease; liver cancer
PMS2,liver disease; liver cancer
PMVK,Parkinson's disease
PNPLA2,liver disease
PNPLA3,liver disease
PNPLA6,liver disease
POLD1,liver disease; liver cancer
POLE,liver disease; liver cancer
POLG,liver disease
POLG2,liver disease
POLR3A,liver disease
POMC,liver disease
PORCN,liver disease
POT1,liver disease
POU1F1,liver disease
POU2AF1,liver disease; liver cancer
POU6F2,liver cancer; liver disease
PPARA,liver disease
PPARG,cerebrovascular disease; liver disease
PPARGC1A,liver disease
PPIG,liver disease
PPOX,liver cancer; liver disease
PPP1R21,liver disease
PRDM16,liver disease
PRDX1,liver disease
PRF1,liver disease
PRIM1,liver disease
PRKACA,liver disease
PRKAR1A,liver cancer; liver disease
PRKCD,liver cancer; liver disease
PRKCSH,liver disease
PRKCZ,liver disease
PRKN,Parkinson's disease
PRKRA,Parkinson's disease
PROM1,liver disease; liver cancer
PROP1,liver disease
PRPS1,liver disease
PRSS1,liver disease
PRSS2,liver disease
PSAP,liver disease; Parkinson's disease
PSEN1,Parkinson's disease
PSMB10,liver disease
PSMB4,liver disease
PSMB8,liver disease
PSMB9,liver disease
PSMG2,liver disease
PSTPIP1,liver disease
PTEN,liver disease; liver cancer
PTGS2,cerebrovascular disease; liver disease
PTPA,Parkinson's disease
PTPN11,liver disease
PTPN2,liver disease
PTPN22,liver disease
PTPN3,liver disease
PTPRC,liver disease
PTRH2,liver disease
PTRHD1,Parkinson's disease
PUS7,liver disease
PXDN,liver cancer; liver disease; cerebrovascular disease
PXDNL,liver disease; liver cancer; cerebrovascular disease
PYGL,liver disease; liver cancer
QRSL1,liver disease
RAB27A,liver disease
RAB29,Parkinson's disease
RAB39B,Parkinson's disease
RABEP2,Parkinson's disease
RABL3,liver cancer; liver disease
RAC2,liver disease
RACGAP1,liver disease
RAD51,liver disease
RAD51C,liver disease
RAF1,liver disease
RAG1,liver disease
RAG2,liver disease
RASA2,liver disease
RASGRP1,liver cancer; liver disease
RBCK1,liver disease
